CupID,Plant,Time_Days,Temp,PreMass,PostMass,Change
56,Common Milkweed,1,20,2.837,2.911,0.074
57,Common Milkweed,1,25,2.873,3.017,0.144
58,Common Milkweed,1,30,2.381,2.508,0.127
59,Common Milkweed,1,33,2.731,2.898,0.167
60,Common Milkweed,1,20,0.819,0.911,0.092
61,Common Milkweed,1,25,0.616,0.694,0.078
62,Common Milkweed,1,30,0.874,1.074,0.2
63,Common Milkweed,1,33,0.599,0.691,0.092
64,Common Milkweed,1,20,0.391,0.454,0.063
65,Common Milkweed,1,25,0.49,0.608,0.118
66,Common Milkweed,1,30,0.516,0.581,0.065
67,Common Milkweed,1,33,0.372,0.423,0.051
68,Common Milkweed,1,20,3.09,3.449,0.359
69,Common Milkweed,1,25,3.063,3.336,0.273
70,Common Milkweed,1,30,3.038,3.426,0.388
71,Common Milkweed,1,33,3.033,3.455,0.422
72,Common Milkweed,1,20,1.23,1.525,0.295
73,Common Milkweed,1,25,1.889,2.152,0.263
74,Common Milkweed,1,30,1.098,1.262,0.164
75,Common Milkweed,1,33,1.116,1.285,0.169
56,Common Milkweed,2,20,2.837,2.926,0.089
57,Common Milkweed,2,25,2.873,3.061,0.188
58,Common Milkweed,2,30,2.381,2.514,0.133
59,Common Milkweed,2,33,2.731,2.894,0.163
60,Common Milkweed,2,20,0.819,1.004,0.185
61,Common Milkweed,2,25,0.616,0.729,0.113
62,Common Milkweed,2,30,0.874,1.081,0.207
63,Common Milkweed,2,33,0.599,0.715,0.116
64,Common Milkweed,2,20,0.391,0.465,0.074
65,Common Milkweed,2,25,0.49,0.689,0.199
66,Common Milkweed,2,30,0.516,0.595,0.079
67,Common Milkweed,2,33,0.372,0.465,0.093
68,Common Milkweed,2,20,3.09,3.526,0.436
69,Common Milkweed,2,25,3.063,3.364,0.301
70,Common Milkweed,2,30,3.038,3.393,0.355
71,Common Milkweed,2,33,3.033,3.457,0.424
72,Common Milkweed,2,20,1.23,1.542,0.312
73,Common Milkweed,2,25,1.889,2.277,0.388
74,Common Milkweed,2,30,1.098,1.256,0.158
75,Common Milkweed,2,33,1.116,1.303,0.187
33,Iva,2,20,0.73,1.055,0.325
4,Iva,2,20,0.536,0.606,0.07
27,Iva,2,20,0.399,0.455,0.056
15,Iva,2,20,0.636,0.789,0.153
1,Iva,2,20,0.317,0.372,0.055
3,Iva,2,25,0.676,0.813,0.137
19,Iva,2,25,0.407,0.44,0.033
21,Iva,2,25,0.51,0.589,0.079
9,Iva,2,25,0.56,0.63,0.07
25,Iva,2,25,0.397,0.473,0.076
24,Iva,2,30,0.75,0.943,0.193
5,Iva,2,30,0.432,0.519,0.087
23,Iva,2,30,0.465,0.497,0.032
6,Iva,2,30,0.215,0.278,0.063
20,Iva,2,30,0.413,0.48,0.067
31,Iva,2,33,0.737,1.047,0.31
22,Iva,2,33,0.532,0.594,0.062
8,Iva,2,33,0.389,0.485,0.096
10,Iva,2,33,0.446,0.486,0.04
17,Iva,2,33,0.415,0.484,0.069
66,Apocynum,1,20,0.354,0.4,0.046
70,Apocynum,1,20,0.198,0.219,0.021
57,Apocynum,1,20,0.361,0.394,0.033
75,Apocynum,1,20,0.52,0.57,0.05
67,Apocynum,1,20,0.22,0.237,0.017
74,Apocynum,1,25,0.54,0.614,0.074
71,Apocynum,1,25,0.403,0.444,0.041
63,Apocynum,1,25,0.187,0.209,0.022
58,Apocynum,1,25,0.465,0.49,0.025
59,Apocynum,1,25,0.173,0.195,0.022
69,Apocynum,1,30,0.525,0.564,0.039
60,Apocynum,1,30,0.244,0.276,0.032
64,Apocynum,1,30,0.501,0.553,0.052
72,Apocynum,1,30,0.132,0.148,0.016
62,Apocynum,1,30,0.19,0.213,0.023
73,Apocynum,1,33,0.515,0.564,0.049
56,Apocynum,1,33,0.438,0.481,0.043
65,Apocynum,1,33,0.175,0.194,0.019
61,Apocynum,1,33,0.144,0.153,0.009
68,Apocynum,1,33,0.193,0.222,0.029
11,Spicebush,1,20,0.667,0.689,0.022
35,Spicebush,1,20,0.32,0.326,0.006
12,Spicebush,1,20,0.325,0.334,0.009
28,Spicebush,1,20,0.402,0.415,0.013
13,Spicebush,1,20,0.619,0.656,0.037
30,Spicebush,1,25,0.855,0.873,0.018
16,Spicebush,1,25,0.158,0.159,0.001
26,Spicebush,1,25,0.296,0.309,0.013
34,Spicebush,1,25,0.192,0.199,0.007
7,Spicebush,1,25,0.325,0.339,0.014
29,Spicebush,1,30,0.695,0.706,0.011
14,Spicebush,1,30,0.119,0.122,0.003
32,Spicebush,1,30,0.388,0.396,0.008
2,Spicebush,1,30,0.32,0.33,0.01
52,Spicebush,1,30,0.366,0.377,0.011
55,Spicebush,1,33,0.644,0.638,-0.006
49,Spicebush,1,33,0.45,0.462,0.012
48,Spicebush,1,33,0.291,0.305,0.014
47,Spicebush,1,33,0.231,0.24,0.009
53,Spicebush,1,33,0.151,0.138,-0.013
31,Tulip Poplar,1,20,1.161,1.176,0.015
8,Tulip Poplar,1,20,0.618,0.622,0.004
22,Tulip Poplar,1,20,0.816,0.853,0.037
27,Tulip Poplar,1,20,0.854,0.908,0.054
10,Tulip Poplar,1,20,1.656,1.697,0.041
4,Tulip Poplar,1,25,1.185,1.246,0.061
32,Tulip Poplar,1,25,0.228,0.245,0.017
15,Tulip Poplar,1,25,0.742,0.694,-0.048
6,Tulip Poplar,1,25,1.214,1.29,0.076
5,Tulip Poplar,1,25,1.914,2.014,0.1
33,Tulip Poplar,1,30,1.305,1.365,0.06
23,Tulip Poplar,1,30,0.285,0.304,0.019
24,Tulip Poplar,1,30,0.762,0.812,0.05
1,Tulip Poplar,1,30,0.952,1.018,0.066
17,Tulip Poplar,1,30,1.611,1.752,0.141
28,Tulip Poplar,1,33,1.068,1.099,0.031
53,Tulip Poplar,1,33,0.262,0.281,0.019
2,Tulip Poplar,1,33,0.809,0.807,-0.002
29,Tulip Poplar,1,33,1.116,1.215,0.099
7,Tulip Poplar,1,33,1.688,1.848,0.16
10,Fennel,1,20,0.148,0.176,0.028
31,Fennel,1,25,0.196,0.225,0.029
8,Fennel,1,30,0.216,0.241,0.025
17,Fennel,1,33,0.253,0.289,0.036
7,Fennel,1,20,0.29,0.363,0.073
23,Fennel,1,25,0.465,0.536,0.071
28,Fennel,1,30,0.484,0.588,0.104
27,Fennel,1,33,0.449,0.56,0.111
53,Fennel,1,20,0.989,1.134,0.145
5,Fennel,1,25,0.916,1.087,0.171
2,Fennel,1,30,0.853,1.006,0.153
1,Fennel,1,33,1.015,1.163,0.148
24,Fennel,1,20,1.324,1.533,0.209
33,Fennel,1,25,1.6,1.808,0.208
15,Fennel,1,30,1.248,1.427,0.179
25,Fennel,1,33,1.926,2.315,0.389
29,Fennel,1,20,0.318,0.379,0.061
20,Fennel,1,25,0.295,0.332,0.037
74,Fennel,1,30,0.339,0.407,0.068
57,Fennel,1,33,0.252,0.298,0.046
51,Black Locust,1,20,0.031,0.031,0
64,Black Locust,1,25,0.06,0.063,0.003
72,Black Locust,1,30,0.049,0.051,0.002
43,Black Locust,1,33,0.045,0.043,-0.002
42,Black Locust,1,20,0.057,0.059,0.002
58,Black Locust,1,25,0.06,0.061,0.001
78,Black Locust,1,30,0.068,0.069,0.001
40,Black Locust,1,33,0.067,0.071,0.004
77,Black Locust,1,20,0.113,0.118,0.005
68,Black Locust,1,25,0.115,0.122,0.007
56,Black Locust,1,30,0.127,0.123,-0.004
73,Black Locust,1,33,0.098,0.1,0.002
60,Black Locust,1,20,0.134,0.143,0.009
36,Black Locust,1,25,0.116,0.12,0.004
61,Black Locust,1,30,0.126,0.132,0.006
59,Black Locust,1,33,0.144,0.149,0.005
50,Black Locust,1,20,0.182,0.199,0.017
41,Black Locust,1,25,0.205,0.216,0.011
38,Black Locust,1,30,0.159,0.163,0.004
46,Black Locust,1,33,0.179,0.186,0.007
67,Box Elder,1,20,0.277,0.298,0.021
14,Box Elder,1,20,0.258,0.283,0.025
62,Box Elder,1,20,0.424,0.445,0.021
22,Box Elder,1,20,0.41,0.454,0.044
47,Box Elder,1,20,0.667,0.749,0.082
70,Box Elder,1,25,0.371,0.395,0.024
9,Box Elder,1,25,0.408,0.432,0.024
26,Box Elder,1,25,0.347,0.377,0.03
66,Box Elder,1,25,0.698,0.739,0.041
44,Box Elder,1,25,0.892,1.031,0.139
18,Box Elder,1,30,0.297,0.321,0.024
12,Box Elder,1,30,0.437,0.436,-0.001
45,Box Elder,1,30,0.373,0.422,0.049
34,Box Elder,1,30,0.476,0.531,0.055
16,Box Elder,1,30,0.937,1.059,0.122
32,Box Elder,1,33,0.268,0.272,0.004
6,Box Elder,1,33,0.228,0.253,0.025
48,Box Elder,1,33,0.422,0.461,0.039
19,Box Elder,1,33,0.562,0.644,0.082
69,Box Elder,1,33,1.41,1.526,0.116
34,Ailanthus,1,20,0.6,0.68,0.08
6,Ailanthus,1,20,0.535,0.595,0.06
26,Ailanthus,1,20,0.366,0.405,0.039
31,Ailanthus,1,20,0.282,0.312,0.03
50,Ailanthus,1,20,0.226,0.258,0.032
36,Ailanthus,1,25,0.605,0.627,0.022
78,Ailanthus,1,25,0.504,0.489,-0.015
68,Ailanthus,1,25,0.321,0.352,0.031
61,Ailanthus,1,25,0.28,0.315,0.035
43,Ailanthus,1,25,0.158,0.179,0.021
58,Ailanthus,1,30,0.638,0.708,0.07
2,Ailanthus,1,30,0.428,0.452,0.024
19,Ailanthus,1,30,0.419,0.475,0.056
47,Ailanthus,1,30,0.295,0.327,0.032
62,Ailanthus,1,30,0.19,0.188,-0.002
22,Ailanthus,1,33,0.666,0.764,0.098
67,Ailanthus,1,33,0.533,0.603,0.07
16,Ailanthus,1,33,0.301,0.339,0.038
37,Ailanthus,1,33,0.283,0.315,0.032
54,Ailanthus,1,33,0.197,0.205,0.008
8,Sycamore,1,20,0.333,0.342,0.009
64,Sycamore,1,20,0.758,0.754,-0.004
56,Sycamore,1,20,0.873,0.93,0.057
60,Sycamore,1,20,1.827,2.034,0.207
15,Sycamore,1,20,3.261,3.442,0.181
73,Sycamore,1,25,0.44,0.454,0.014
51,Sycamore,1,25,0.816,0.87,0.054
46,Sycamore,1,25,1.193,1.256,0.063
59,Sycamore,1,25,1.709,1.814,0.105
28,Sycamore,1,25,4.162,4.479,0.317
38,Sycamore,1,30,0.507,0.538,0.031
40,Sycamore,1,30,0.728,0.82,0.092
j33,Sycamore,1,30,1.146,1.259,0.113
j34,Sycamore,1,30,1.537,1.651,0.114
j35,Sycamore,1,30,4.07,4.352,0.282
j36,Sycamore,1,33,0.633,0.69,0.057
j37,Sycamore,1,33,0.774,0.839,0.065
j38,Sycamore,1,33,0.86,0.902,0.042
j39,Sycamore,1,33,1.839,1.983,0.144
j40,Sycamore,1,33,2.288,2.536,0.248
32,Sweetgum,1,20,0.281,0.288,0.007
48,Sweetgum,1,20,0.522,0.527,0.005
14,Sweetgum,1,20,1.069,1.081,0.012
45,Sweetgum,1,20,1.29,1.327,0.037
12,Sweetgum,1,20,0.744,0.764,0.02
9,Sweetgum,1,25,0.296,0.293,-0.003
66,Sweetgum,1,25,0.451,0.449,-0.002
69,Sweetgum,1,25,1.045,0.748,-0.297
70,Sweetgum,1,25,1.36,1.363,0.003
18,Sweetgum,1,25,0.768,0.779,0.011
44,Sweetgum,1,30,0.31,0.315,0.005
31,Sweetgum,1,30,0.427,0.441,0.014
50,Sweetgum,1,30,0.912,0.923,0.011
34,Sweetgum,1,30,1.102,1.084,-0.018
26,Sweetgum,1,30,0.746,0.726,-0.02
67,Sweetgum,1,33,0.32,0.324,0.004
22,Sweetgum,1,33,0.494,0.473,-0.021
6,Sweetgum,1,33,0.842,0.854,0.012
16,Sweetgum,1,33,0.984,0.994,0.01
54,Sweetgum,1,33,0.565,0.578,0.013
j33,Wineberry,1,20,0.563,0.578,0.015
j34,Wineberry,1,20,0.29,0.307,0.017
j35,Wineberry,1,20,0.15,0.169,0.019
j36,Wineberry,1,20,0.069,0.079,0.01
j37,Wineberry,1,20,0.045,0.054,0.009
j38,Wineberry,1,25,0.453,0.464,0.011
j39,Wineberry,1,25,0.366,0.377,0.011
j40,Wineberry,1,25,0.138,0.184,0.046
j41,Wineberry,1,25,0.086,0.109,0.023
j42,Wineberry,1,25,0.062,0.088,0.026
j43,Wineberry,1,30,0.383,0.405,0.022
j44,Wineberry,1,30,0.29,0.309,0.019
j45,Wineberry,1,30,0.119,0.128,0.009
j46,Wineberry,1,30,0.07,0.076,0.006
j47,Wineberry,1,30,0.052,0.065,0.013
j48,Wineberry,1,33,0.495,0.528,0.033
j49,Wineberry,1,33,0.322,0.338,0.016
j50,Wineberry,1,33,0.12,0.139,0.019
j51,Wineberry,1,33,0.09,0.106,0.016
j52,Wineberry,1,33,0.075,0.091,0.016
j1,Multiflora Rose,1,20,0.101,0.121,0.02
j2,Multiflora Rose,1,20,0.108,0.118,0.01
j3,Multiflora Rose,1,20,0.185,0.208,0.023
j4,Multiflora Rose,1,20,0.219,0.229,0.01
j5,Multiflora Rose,1,20,0.768,0.846,0.078
j6,Multiflora Rose,1,25,0.121,0.14,0.019
j7,Multiflora Rose,1,25,0.103,0.116,0.013
j8,Multiflora Rose,1,25,0.133,0.142,0.009
j9,Multiflora Rose,1,25,0.197,0.211,0.014
j10,Multiflora Rose,1,25,0.467,0.502,0.035
j11,Multiflora Rose,1,30,0.087,0.102,0.015
j12,Multiflora Rose,1,30,0.146,0.152,0.006
j13,Multiflora Rose,1,30,0.232,0.26,0.028
j14,Multiflora Rose,1,30,0.223,0.239,0.016
j15,Multiflora Rose,1,30,0.696,0.791,0.095
j16,Multiflora Rose,1,33,0.057,0.066,0.009
j17,Multiflora Rose,1,33,0.171,0.205,0.034
j18,Multiflora Rose,1,33,0.162,0.173,0.011
j19,Multiflora Rose,1,33,0.356,0.406,0.05
j20,Multiflora Rose,1,33,0.499,0.531,0.032
1,Blackberry,1,20,0.38,0.417,0.037
20,Blackberry,1,20,1.104,1.24,0.136
76,Blackberry,1,20,1.769,1.859,0.09
41,Blackberry,1,20,2.098,2.269,0.171
38,Blackberry,1,20,1.659,1.779,0.12
2,Blackberry,1,25,0.417,0.52,0.103
4,Blackberry,1,25,0.592,0.607,0.015
48,Blackberry,1,25,1.828,1.983,0.155
66,Blackberry,1,25,1.974,2.082,0.108
61,Blackberry,1,25,2.07,2.248,0.178
22,Blackberry,1,30,0.481,0.517,0.036
67,Blackberry,1,30,0.453,0.469,0.016
40,Blackberry,1,30,1.257,1.319,0.062
78,Blackberry,1,30,1.604,1.777,0.173
6,Blackberry,1,30,1.848,2.042,0.194
24,Blackberry,1,33,0.249,0.286,0.037
37,Blackberry,1,33,0.507,0.517,0.01
62,Blackberry,1,33,1.119,1.142,0.023
52,Blackberry,1,33,1.419,1.606,0.187
33,Blackberry,1,33,1.985,2.173,0.188
58,Sassafrass,1,20,0.722,0.772,0.05
33,Sassafrass,1,20,0.386,0.402,0.016
52,Sassafrass,1,20,0.501,0.541,0.04
62,Sassafrass,1,20,0.268,0.283,0.015
37,Sassafrass,1,20,0.234,0.246,0.012
24,Sassafrass,1,25,0.681,0.74,0.059
6,Sassafrass,1,25,0.401,0.418,0.017
78,Sassafrass,1,25,0.397,0.432,0.035
40,Sassafrass,1,25,0.319,0.321,0.002
67,Sassafrass,1,25,0.191,0.201,0.01
45,Sassafrass,1,30,0.532,0.547,0.015
32,Sassafrass,1,30,0.337,0.34,0.003
11,Sassafrass,1,30,0.463,0.465,0.002
63,Sassafrass,1,30,0.289,0.303,0.014
72,Sassafrass,1,30,0.352,0.373,0.021
19,Sassafrass,1,33,0.692,0.716,0.024
9,Sassafrass,1,33,0.475,0.52,0.045
7,Sassafrass,1,33,0.368,0.36,-0.008
44,Sassafrass,1,33,0.258,0.215,-0.043
70,Sassafrass,1,33,0.205,0.209,0.004
j65,Red Maple,1,20,0.141,0.151,0.01
j66,Red Maple,1,20,0.236,0.242,0.006
j67,Red Maple,1,20,0.234,0.237,0.003
j68,Red Maple,1,20,0.64,0.676,0.036
j69,Red Maple,1,20,0.82,0.866,0.046
j70,Red Maple,1,25,0.128,0.134,0.006
j71,Red Maple,1,25,0.205,0.202,-0.003
j72,Red Maple,1,25,0.273,0.252,-0.021
j73,Red Maple,1,25,0.47,0.467,-0.003
j74,Red Maple,1,25,0.738,0.785,0.047
j75,Red Maple,1,30,0.093,0.102,0.009
j76,Red Maple,1,30,0.17,0.17,0
j77,Red Maple,1,30,0.251,0.263,0.012
j78,Red Maple,1,30,0.525,0.553,0.028
j79,Red Maple,1,30,0.791,0.697,-0.094
j80,Red Maple,1,33,0.085,0.076,-0.009
j81,Red Maple,1,33,0.163,0.163,0
j82,Red Maple,1,33,0.311,0.286,-0.025
j83,Red Maple,1,33,0.505,0.552,0.047
j84,Red Maple,1,33,0.922,0.944,0.022
j65,V. prunifolium,1,20,0.317,0.334,0.017
j66,V. prunifolium,1,20,0.219,0.217,-0.002
j67,V. prunifolium,1,20,0.144,0.152,0.008
j68,V. prunifolium,1,20,0.066,0.068,0.002
j69,V. prunifolium,1,20,0.035,0.038,0.003
j70,V. prunifolium,1,25,0.247,0.257,0.01
j71,V. prunifolium,1,25,0.19,0.201,0.011
j72,V. prunifolium,1,25,0.119,0.126,0.007
j73,V. prunifolium,1,25,0.12,0.129,0.009
j74,V. prunifolium,1,25,0.053,0.057,0.004
j75,V. prunifolium,1,30,0.272,0.286,0.014
j76,V. prunifolium,1,30,0.208,0.207,-0.001
j77,V. prunifolium,1,30,0.169,0.181,0.012
j78,V. prunifolium,1,30,0.104,0.109,0.005
j79,V. prunifolium,1,30,0.074,0.079,0.005
j80,V. prunifolium,1,33,0.24,0.264,0.024
j81,V. prunifolium,1,33,0.204,0.224,0.02
j82,V. prunifolium,1,33,0.177,0.17,-0.007
j83,V. prunifolium,1,33,0.1,0.107,0.007
j84,V. prunifolium,1,33,0.079,0.086,0.007
21,Slippery Elm,1,20,0.037,0.04,0.003
59,Slippery Elm,1,20,0.071,0.075,0.004
16,Slippery Elm,1,20,0.12,0.126,0.006
64,Slippery Elm,1,20,0.111,0.115,0.004
6,Slippery Elm,1,20,0.258,0.274,0.016
44,Slippery Elm,1,25,0.064,0.066,0.002
83,Slippery Elm,1,25,0.076,0.087,0.011
56,Slippery Elm,1,25,0.148,0.154,0.006
75,Slippery Elm,1,25,0.18,0.189,0.009
5,Slippery Elm,1,25,0.268,0.263,-0.005
3,Slippery Elm,1,30,0.047,0.049,0.002
68,Slippery Elm,1,30,0.06,0.063,0.003
81,Slippery Elm,1,30,0.163,0.164,0.001
42,Slippery Elm,1,30,0.126,0.135,0.009
51,Slippery Elm,1,30,0.234,0.248,0.014
13,Slippery Elm,1,33,0.046,0.049,0.003
55,Slippery Elm,1,33,0.071,0.079,0.008
84,Slippery Elm,1,33,0.155,0.173,0.018
82,Slippery Elm,1,33,0.165,0.18,0.015
37,Slippery Elm,1,33,0.286,0.307,0.021
j65,Frost Grape,1,20,0.098,0.108,0.01
j66,Frost Grape,1,20,0.429,0.413,-0.016
j67,Frost Grape,1,20,0.692,0.664,-0.028
j68,Frost Grape,1,20,1.113,1.145,0.032
j69,Frost Grape,1,20,2.172,2.182,0.01
j70,Frost Grape,1,25,0.094,0.104,0.01
j71,Frost Grape,1,25,0.461,0.475,0.014
j72,Frost Grape,1,25,0.645,0.643,-0.002
j73,Frost Grape,1,25,0.776,0.793,0.017
j74,Frost Grape,1,25,3.16,3.293,0.133
j75,Frost Grape,1,30,0.063,0.069,0.006
j76,Frost Grape,1,30,0.356,0.362,0.006
j77,Frost Grape,1,30,0.654,0.691,0.037
j78,Frost Grape,1,30,0.941,0.985,0.044
j79,Frost Grape,1,30,1.371,1.401,0.03
j80,Frost Grape,1,33,0.086,0.091,0.005
j81,Frost Grape,1,33,0.407,0.42,0.013
j82,Frost Grape,1,33,0.614,0.66,0.046
j83,Frost Grape,1,33,1.225,1.268,0.043
j84,Frost Grape,1,33,2.558,2.702,0.144
72,Plantain,1,20,0.343,0.399,0.056
45,Plantain,1,20,0.607,0.677,0.07
27,Plantain,1,20,0.616,0.617,0.001
80,Plantain,1,20,0.885,0.906,0.021
26,Plantain,1,20,0.719,0.805,0.086
48,Plantain,1,25,0.488,0.558,0.07
76,Plantain,1,25,0.706,0.769,0.063
41,Plantain,1,25,0.818,0.901,0.083
36,Plantain,1,25,0.764,0.74,-0.024
4,Plantain,1,25,0.86,0.892,0.032
29,Plantain,1,30,0.43,0.444,0.014
71,Plantain,1,30,0.674,0.753,0.079
46,Plantain,1,30,0.84,0.947,0.107
47,Plantain,1,30,1.291,1.332,0.041
33,Plantain,1,30,0.755,0.815,0.06
7,Plantain,1,33,0.379,0.46,0.081
10,Plantain,1,33,0.542,0.617,0.075
70,Plantain,1,33,0.69,0.828,0.138
6,Plantain,1,33,1.09,1.182,0.092
11,Plantain,1,33,1.029,1.106,0.077
