"Species","Distance.m","Angle.degrees","Tree.Height.m"
"Populus tremula",31.6658337740228,41.2826361937914,27.8021161438536
"Quercus robur",45.984992608428,44.5359166583512,45.2460250644405
"Ginkgo biloba",31.2417666241527,25.1462585572153,14.6654828109493
"Fraxinus excelsior",34.6166691975668,23.336126555223,14.9341751666304
"Betula pendula",45.4661654261872,38.3491299510933,35.9703591412599
"Betula pendula",48.7955017434433,33.5923089866992,32.4102133664874
"Populus tremula",30.6472346419469,29.6680675458629,17.4582436344144
"Fagus sylvatica",35.0619523832574,40.6805929599795,30.1373803987097
"Quercus robur",39.9362466670573,26.95891767391,20.3124778877177
"Quercus robur",48.5709257051349,26.702855124604,24.4316633466933
"Carpinus betulus",41.3144933478907,33.6508165684063,27.5021323376702
"Populus tremula",47.1975362300873,28.0572507053148,25.1559006982628
"Populus tremula",35.4810611810535,39.6383204893209,29.3924796426504
"Ginkgo biloba",34.8862405261025,38.9365267753601,28.186387176743
"Betula pendula",34.1105821775272,42.0246486656833,30.7398877560462
"Alnus glutinosa",49.654958024621,38.6693715688307,39.7375605141388
"Ginkgo biloba",40.5030490783975,31.3665648386814,24.6907361358239
"Carpinus betulus",35.9443165874109,26.293636362534,17.7598206600918
"Metasequoia glyptostroboides",41.7043626774102,26.5267517697066,20.8173463350902
"Ginkgo biloba",37.3554195649922,43.1725008168723,35.0453500297761
"Betula pendula",43.4749639127403,36.2327829515561,31.8570793178491
"Fagus sylvatica",39.8774524684995,38.6918964318465,31.9386047488713
"Populus tremula",31.2450212799013,23.340078931069,13.4821498330136
"Quercus robur",35.9201506245881,42.8551055188291,33.3266523194599
"Ginkgo biloba",49.6307160519063,31.3478059414774,30.2326960123414
"Carpinus betulus",38.2067809579894,43.2579337025527,35.9513240857659
"Pinus sylvestris",30.462764617987,35.7672338711563,21.9439670047572
"Pinus sylvestris",44.3437174567953,42.6901407469995,40.9050790218609
"Carpinus betulus",42.391633852385,26.078630394768,20.7478453627024
"Pinus sylvestris",49.7625944949687,35.1144014263991,34.9924266516406
"Populus tremula",46.3471551518887,29.2238053563051,25.9278264709673
"Fraxinus excelsior",48.8101416407153,30.1879840833135,28.3944786935928
"Betula pendula",39.1205159528181,40.7153382652905,33.6671770907055
"Pinus sylvestris",32.091398476623,33.0367860780098,20.8697032615009
"Fraxinus excelsior",30.7957392046228,36.5876288549043,22.8606192049441
"Fraxinus excelsior",39.4369949353859,36.0758849116974,28.7325342972692
"Carpinus betulus",39.9332950264215,23.9536876312923,17.7407856705286
"Quercus robur",47.7163779549301,31.0238172404934,28.6978954943367
"Quercus robur",49.7508854558691,35.125136054121,34.9981249021626
"Metasequoia glyptostroboides",40.6481830682606,30.138981079217,23.5998899070162
"Alnus glutinosa",39.0966060291976,20.8493582543451,14.8899603553746
"Betula pendula",38.8727945787832,22.9332405712921,16.4470943204447
"Carpinus betulus",47.0151513628662,30.629521345254,27.8373897821194
"Alnus glutinosa",34.5093661732972,25.6323324737605,16.5580686489338
"Populus tremula",32.0270016696304,30.797824623296,19.0902766600748
"Carpinus betulus",36.4183936547488,40.8025922765955,31.4383896232601
"Alnus glutinosa",35.0219672126696,22.6937661168631,14.6455292225583
"Ginkgo biloba",40.2515866607428,24.2476485599764,18.1300305585499
"Alnus glutinosa",49.314148882404,24.237724567065,22.2016961784453
"Pinus sylvestris",41.1222059605643,21.0549149999861,15.8305736838522
"Alnus glutinosa",32.3566586244851,39.6630597871263,26.8277943439877
"Populus tremula",39.0768380276859,28.8852869695984,21.5584829030437
"Betula pendula",34.7624337533489,30.1337608066387,20.1784536776611
"Populus tremula",41.9296419201419,40.5908210249618,35.926399243688
"Ginkgo biloba",36.9634854933247,42.9492065787781,34.407794803122
"Alnus glutinosa",44.7396824741736,28.3564685541205,24.1467447352451
"Betula pendula",40.0541249988601,36.7069853108842,29.8630216927443
"Carpinus betulus",42.3438745737076,22.6408458594233,17.6614815511376
"Quercus robur",42.641541226767,27.5769322866108,22.2706037465808
"Quercus robur",43.9628482470289,39.0075231716037,35.6099714033108
"Carpinus betulus",31.7523087095469,41.3719389925245,27.9657997511039
"Metasequoia glyptostroboides",36.7305195052177,25.2483093517367,17.3219127588441
"Fagus sylvatica",35.2053026808426,26.6025140462443,17.6314345066404
"Ginkgo biloba",37.1359657170251,25.7740561838727,17.9314867974499
"Betula pendula",49.0705289924517,22.1340628678445,19.9594667865808
"Ginkgo biloba",37.7177836187184,38.4513014333788,29.9497730591799
"Quercus robur",38.6944898404181,28.8151913310867,21.2858378633108
"Metasequoia glyptostroboides",43.7934040511027,43.4747779497411,41.5217651293756
"Quercus robur",31.1318424111232,36.4222790568601,22.9710644792556
"Fraxinus excelsior",46.5926557453349,40.0547198357526,39.1717694540829
"Fagus sylvatica",46.8141130637378,42.2744762897491,42.5594594948145
"Metasequoia glyptostroboides",43.3638163143769,25.2968545409385,20.4950695952399
"Metasequoia glyptostroboides",43.2250146940351,29.3812054779846,24.3373667550806
"Metasequoia glyptostroboides",30.3724726615474,26.0244086605962,14.8296650389499
"Ginkgo biloba",36.2616367125884,26.9264538411517,18.4176346157587
"Fraxinus excelsior",43.0547891696915,38.551938253222,34.3110948678684
"Metasequoia glyptostroboides",31.8466471461579,27.0579518273007,16.2672720083469
"Pinus sylvestris",32.148510729894,43.5628935683053,30.5749362438681
"Carpinus betulus",31.9652264704928,32.4111447832547,20.2944724122693
"Alnus glutinosa",33.2068143971264,39.2829246632755,27.1629405490331
"Ginkgo biloba",46.2207302916795,22.6515088393353,19.2886035861942
"Populus tremula",34.6725190524012,29.0177269594278,19.2333171203953
"Metasequoia glyptostroboides",31.6282911319286,27.4797301611397,16.4504273420337
"Pinus sylvestris",42.4521899130195,36.4182837354019,31.3193691881758
"Carpinus betulus",44.0396487526596,26.9310160295572,22.3725733280567
"Quercus robur",47.0961082773283,43.5438830161002,44.761142120774
"Populus tremula",32.2839726274833,32.886884593172,20.8749572058077
"Fraxinus excelsior",49.0115680545568,30.479611356277,28.8465326406022
"Populus tremula",43.1407250231132,28.9061927516013,23.8210437847612
"Ginkgo biloba",45.5459984904155,32.2224305989221,28.7067538534241
"Carpinus betulus",31.2111467495561,39.5559814048465,25.7797427573219
"Fraxinus excelsior",42.0305995130911,37.7148740214761,32.5023714088389
"Metasequoia glyptostroboides",31.918618218042,43.9337977429386,30.7522575585415
"Pinus sylvestris",41.8378670746461,30.7671553385444,24.9078791975552
"Metasequoia glyptostroboides",44.3048819759861,44.4214324338827,43.4190238502467
"Populus tremula",33.7106570415199,22.4894612724893,13.9561474576622
"Metasequoia glyptostroboides",44.3288471642882,37.6085923507344,34.1483995046584
"Ginkgo biloba",38.8612799486145,23.7011940556113,17.0598751832491
"Quercus robur",40.2974182832986,41.5249906526878,35.6834904432025
"Pinus sylvestris",39.4655588641763,42.5670967833139,36.2486360903666
"Metasequoia glyptostroboides",31.1997501179576,36.4470520627219,23.042012089501
"Fraxinus excelsior",49.7581105213612,20.4188025603071,18.523465055507
"Ginkgo biloba",39.0433466527611,35.7310830720235,28.0876210700178
"Quercus robur",37.2985610784963,30.0138944864739,21.5463960617686
"Metasequoia glyptostroboides",42.3745733685791,33.7517177441623,28.3156223418174
"Ginkgo biloba",40.405092779547,33.9635875006206,27.2162344608934
"Betula pendula",40.3485652338713,32.1756120526697,25.3848689037874
"Ginkgo biloba",47.1486219018698,26.6794721642509,23.6921248466416
"Ginkgo biloba",33.7005372857675,20.654582423158,12.7038527112299
"Carpinus betulus",30.6755190063268,26.8811376637314,15.5498832304247
"Quercus robur",31.8700994597748,23.1649143493269,13.636447101919
"Fagus sylvatica",37.50953507144,36.5860947454348,27.8429175052746
"Carpinus betulus",46.1398328468204,43.9787996921223,44.5237370123352
"Ginkgo biloba",39.7066187299788,29.9145355867222,22.8457245066284
"Alnus glutinosa",41.0378486057743,22.0238169818185,16.6002138626895
"Pinus sylvestris",33.4058833960444,35.9963867568877,24.2675764075102
"Carpinus betulus",39.501561964862,30.2981362491846,23.0811254247168
"Fagus sylvatica",43.9889151183888,27.0793361170217,22.4902497112332
"Carpinus betulus",37.8497270308435,38.5734353668522,30.1863189311964
"Alnus glutinosa",43.5288517223671,36.761984070763,32.5187188795953
