Cultivation,october,october,october,october,october,may,may,may,may,may,march,march,march,march,march,march,may,may,may,may,may,march,march,march,march,march,october,october,october,october,march,march,march,march,march,october,october,october,october,october,may,may,may,may,may,march,march,march,march,march,march,may,may,may,october,october,october,october,october
Block,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,d,d,d,d,d,d,d,d,d,d,d,d,d,d
Plot,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,12,12,12,11,11,11,11,11
Quadrat,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q1,Q2,Q4,Q1,Q2,Q3,Q4,Q5
Achillea millefolium,4,8,3,20,6,4,,,,,1,2,5,12,2,,,,,,,3,8,3,7,20,1,,3,1,24,26,37,37,100,2,,,1,,,,7,,5,7,2,2,9,4,10,,,,,,12,6,5
Agrostis gigantea,,,,,15,,,,,2,8,,53,16,47,12,68,57,83,88,89,10,29,24,24,43,143,39,10,67,62,22,37,4,27,198,96,99,48,351,57,41,65,38,45,259,33,96,291,19,80,33,145,45,62,25,57,113,12
Anagallis arvensis,,,,,,,,,,2,,,,,,,,1,,2,,,,,,,,,,,,,,,,2,3,,2,,,2,1,13,9,,,,,2,,9,8,17,,12,,12,
Anchusa arvensis,,3,1,1,,1,,,,,,,,,,,,3,2,,3,,,,,,,,,,,,,,,,,,1,,3,4,8,6,1,,,,,,,,,,,,,,
Anisantha sterilis,,,,,5,,,,,,,,,,,,62,48,78,12,72,,,,,,1,,,,,7,,7,24,,,,,,71,120,20,6,24,,5,,5,1,,14,,8,,,,,3
Aphanes australis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Artemesia vulgaris,,,2,,,,4,,,,9,1,14,13,5,29,,1,,2,,18,15,18,38,14,,,4,,40,52,4,,1,,,,,,,,,,,,2,7,7,,1,,,,,,,,
Bromus hordaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,26,2,16,3,,,,,,,12,,10,,,,,
Cerastium glomeratun,,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium album,,,,,,7,,,,5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium arvense,,5,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Conyza canadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Crepis capillaris,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,3,,,2,,,,,,
Crepis paludos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,
Elytrigia repens,,,,,,,,,,,,,,,,,9,5,9,8,17,,,2,,,,,,,,,,32,11,,,,,,,,2,,6,,,,,25,5,,,1,,,,,
Epilobium ciliatum,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,
Erodium cicutarium,,,,,,16,3,2,6,,,,,,,,,8,4,3,6,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,
Fallopia convolvulus,,,,,,12,3,13,8,,,,,,,,,2,,1,,,,,,,5,11,5,15,,1,,,1,,,,,,,,,,,4,1,,,,,,,,,,,,
Festuca rubra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Geranium molle,,,,,,,5,,,,,,,,,,3,,,2,1,,,,,,,,,,,,,,,,,,,,6,1,6,7,12,,,,,,,3,1,,,,,,
Holcus mollis,159,81,144,124,115,120,70,83,79,89,46,27,23,18,27,,,1,,1,,19,16,5,11,38,75,129,123,51,28,33,48,73,49,92,256,147,128,45,11,6,,,,,26,44,,70,20,14,20,1,104,131,73,54,77
Hypochaeris radicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Lactuca serriola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Medicago lupulina ,,,,,,,,,,,,8,21,11,59,3,,,,,,2,,2,7,,,1,3,3,2,4,,28,16,3,1,4,4,,,,,,,63,44,114,25,2,16,,,,,,,1,1
Myosotis arvensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,
Plantago lanceolata ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polpaver dubium,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphanus raphanistrum ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Rumex acetosella,25,,,6,1,1,,,5,3,3,,2,4,,,,,,2,2,,1,1,,3,,27,7,6,1,1,9,5,16,,7,3,,,,,,,,,,,6,1,4,2,,5,3,13,15,,13
Rumex crispus,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,4,,,2,,4,,6,,,4,,,1,,,,,3,,,,,,,
Rumex obtusifolia,,,,,,,,,,,2,,4,9,,3,,,,,,,,,,,,,,,,,,,,9,,,5,4,,,,,,2,,,,3,1,,,,,,,,
Semecio jacobaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonchus asper,,,,,,,2,4,,4,,,,,,,3,2,5,1,5,,,,,,,,,,,,,,,,,,,,2,,4,7,2,,,,,,,,3,,,,,,
Spergula arvensis,,,,,,2,,4,3,,,,,,,,4,10,4,,6,,1,,,,1,1,1,,,,1,,,,,,10,,30,50,11,25,18,12,,,,,1,,,1,,,1,1,11
Stellaria graminea,8,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,2,6,,,,,,,,,,,,,,,,,,,4,2,,,,,1
Taraxacum officinale,,,,,10,,1,,,,,,,,1,,,,1,,1,,,,,,,,1,,,,,,,,,,,,1,,2,1,3,,,,,,,,,,,,,,
Tripleurospermum inodorum ,11,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2
Veronica arvensis,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,,,,,5,,,,,
Veronica persica,1,,,,,2,,1,4,6,,,,,,,4,2,3,1,7,,,1,,,,,,,,1,,,1,,,,,,3,2,4,2,1,,,,,,,,,,,5,,,1
Viola arvensis,,3,1,1,,,,,,,1,,,,,,,,,,,,2,,16,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulpia myuros ,,,,,7,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,25,,,,,,,,,
